doc_id	title	author_id	first_name	surname_prefix	surname	full_name	birth_year	death_year	year_of_publication
abee001dorp01	De dorpsbeschaver	abee001	Albijn	van den	Abeele	Abeele, Albijn van den	1835.0	1918.0	1874
calc002uith01	Uit het leven voor het leven. Deel 1	calc002	Elise	van	Calcar	Calcar, Elise van	1822.0	1904.0	1875
goev001vert01	Vertrek naar Zomerlust. Een verhaal voor jonge kinderen	goev001	J.J.A.		Goeverneur	Goeverneur, J.J.A.	1809.0	1889.0	1875
snie002geuz02	De geuzen in de Kempen. Deel 2	snie002	Jan Renier		Snieders	Snieders, Jan Renier	1812.0	1888.0	1875
snie002geuz01	De geuzen in de Kempen. Deel 1	snie002	Jan Renier		Snieders	Snieders, Jan Renier	1812.0	1888.0	1875
bosb002majo01	Majoor Frans	bosb002	A.L.G.		Bosboom-Toussaint	Bosboom-Toussaint, A.L.G.	1812.0	1886.0	1875
vitr005darw01	Darwinia	vitr005	Anne Johannes		Vitringa	Vitringa, Anne Johannes	1827.0	1901.0	1876
daen016laat03	De laatste novitie van Afflighem. Deel 2	daen016	Pieter		Daens	Daens, Pieter	1842.0	1918.0	1876
andr018holl01	De Hollandsche Robinson Crusoë	andr018	P.J.		Andriessen	Andriessen, P.J.	1815.0	1877.0	1876
daum001onef01	Oneffen paden	daum001	P.A.		Daum	Daum, P.A.	1850.0	1898.0	1876
daen016laat02	De laatste novitie van Afflighem. Deel 1	daen016	Pieter		Daens	Daens, Pieter	1842.0	1918.0	1876
snie001dorp02	De dorpspastoor	snie001	August		Snieders	Snieders, August	1825.0	1904.0	1853
snie001spee02	De speelduivel. Uit het leven van een kassier	snie001	August		Snieders	Snieders, August	1825.0	1904.0	1870
snie001antw01	Antwerpen in brand	snie001	August		Snieders	Snieders, August	1825.0	1904.0	1876
snie001opde03	Op de bruiloft. Geschiedenis van een Vielliebchen	snie001	August		Snieders	Snieders, August	1825.0	1904.0	1863
snie001zust02	Het zusterke der armen	snie001	August		Snieders	Snieders, August	1825.0	1904.0	1867
snie001anne03	Anne-Dieu-le-Veut	snie001	August		Snieders	Snieders, August	1825.0	1904.0	1876
snie001heer02	De heer van 't kasteel	snie001	August		Snieders	Snieders, August	1825.0	1904.0	1877
mela002jonk02	De jonkvrouwe van Groenerode	mela002			Melati van Java	Melati van Java	1853.0	1927.0	1875
gram001haag01	Een Haagsch fortuin	gram001	Johan		Gram	Gram, Johan	1833.0	1914.0	1877
huyg004hele01	Hélène van Bentinck	huyg004	Cornélie		Huygens	Huygens, Cornélie	1848.0	1902.0	1877
goev001gebr01	De gebroken vaas	goev001	J.J.A.		Goeverneur	Goeverneur, J.J.A.	1809.0	1889.0	1877
goev001klei01	De kleine snapper	goev001	J.J.A.		Goeverneur	Goeverneur, J.J.A.	1809.0	1889.0	1877
goev001jong01	De jonge vlieg	goev001	J.J.A.		Goeverneur	Goeverneur, J.J.A.	1809.0	1889.0	1877
brin017jean02	Jeannette en Juanito	brin017	Jan	ten	Brink	Brink, Jan ten	1834.0	1901.0	1877
foor001kolo01	De koloniaal en zijn overste (2 delen)	foor001	Annie		Foore	Foore, Annie	1847.0	1890.0	1877
goej001doch02	De dochter van den kozak. Een historisch verhaal voor meisjes	goej001	Reinoudina	de	Goeje	Goeje, Reinoudina de	1833.0	1893.0	1861
snie001ouds01	Oud speelgoed	snie001	August		Snieders	Snieders, August	1825.0	1904.0	1878
brin017verl02	Het verloren kind	brin017	Jan	ten	Brink	Brink, Jan ten	1834.0	1901.0	1879
gerd001uitd03	Uit de duinen. Een verhaal uit den Spaanschen tijd	gerd001	Eduard		Gerdes	Gerdes, Eduard	1821.0	1898.0	1879
veer004half01	Halfbloed	veer004	Hendrik	de	Veer	Veer, Hendrik de	1829.0	1890.0	1879
waze001vlaa02	Een Vlaamsche jongen	waze001			Wazenaar	Wazenaar	1840.0	1906.0	1879
eman001drie01	Een drietal novellen	eman001	Marcellus		Emants	Emants, Marcellus	1848.0	1923.0	1879
love002drie01	Drie novellen	love002	Virginie		Loveling	Loveling, Virginie	1836.0	1923.0	1879
bosb002raym01	Raymond de schrijnwerker	bosb002	A.L.G.		Bosboom-Toussaint	Bosboom-Toussaint, A.L.G.	1812.0	1886.0	1880
vosm001amaz01	Amazone	vosm001	Carel		Vosmaer	Vosmaer, Carel	1826.0	1888.0	1880
veer004malt01	Malthusia	veer004	Hendrik	de	Veer	Veer, Hendrik de	1829.0	1890.0	1880
waze001vlaa01	Een Vlaamsche jongen	waze001			Wazenaar	Wazenaar	1840.0	1906.0	1879
snie002sche03	De scheerslijper. Uit de kerkvervolging in de laatste dagen der voorgaande eeuw. Deel 2	snie002	Jan Renier		Snieders	Snieders, Jan Renier	1812.0	1888.0	1881
snie002sche02	De scheerslijper. Uit de kerkvervolging in de laatste dagen der voorgaande eeuw. Deel 1	snie002	Jan Renier		Snieders	Snieders, Jan Renier	1812.0	1888.0	1881
anse001omwe01	De omwenteling van 1830	anse001	Edward		Anseele	Anseele, Edward	1856.0	1938.0	1882
kell004test01	Het testament van mevrouw De Tonnette	kell004	Gerard		Keller	Keller, Gerard	1829.0	1899.0	1882
cach002geld01	Di geldduiwel (onder ps. Neef Jan wat Versies Maak)	cach002	Jan		Cachet Lion	Cachet Lion, Jan	1838.0	1912.0	1882
wall010vors01	Vorstengunst	wall010	A.S.C.		Wallis	Wallis, A.S.C.	1857.0	1925.0	1883
bohn001onze02	Onze buurt (onder pseudoniem Een ongenoemde)	bohn001	Dorothea		Bohn-Beets	Bohn-Beets, Dorothea	1812.0	1864.0	1861
vern002reis02	De reis om de wereld in 80 dagen	vern002	Jules		Verne	Verne, Jules	1828.0	1905.0	1875
bosb002medi03	Media-noche. Een tafereel uit den Nijmeegschen vredehandel 1678	bosb002	A.L.G.		Bosboom-Toussaint	Bosboom-Toussaint, A.L.G.	1812.0	1886.0	1852
maur005vers00	Verspreide novellen	maur005	Justus	van	Maurik	Maurik, Justus van	1846.0	1904.0	1885
twai001lotg11	De lotgevallen van Huckleberry Finn, Tom Sawyer's makker	twai001	Mark		Twain	Twain, Mark	1835.0	1910.0	1885
woud008zijn03	Zijn ideaal. Deel 2	woud008	Johanna	van	Woude	Woude, Johanna van	1853.0	1904.0	1885
woud008zijn02	Zijn ideaal. Deel 1	woud008	Johanna	van	Woude	Woude, Johanna van	1853.0	1904.0	1885
snie002zond01	Zonder God	snie002	Jan Renier		Snieders	Snieders, Jan Renier	1812.0	1888.0	1885
love002soph01	Sophie (2 delen)	love002	Virginie		Loveling	Loveling, Virginie	1836.0	1923.0	1885
pere002babo01	Baboe dalima. Opium roman. Deel 1	pere002	M.T.H.		Perelaer	Perelaer, M.T.H.	1831.0	1901.0	1886
heyt009wono02	Wonosari. Deel 2 (onder ps. P.H. van der Hoog)	heyt009	Pieter		Heyting	Heyting, Pieter	1841.0	1899.0	1886
eman001mona03	Monaco. Drie typen	eman001	Marcellus		Emants	Emants, Marcellus	1848.0	1923.0	1878
heyt009wono01	Wonosari. Deel 1 (onder ps. P.H. van der Hoog)	heyt009	Pieter		Heyting	Heyting, Pieter	1841.0	1899.0	1886
woud008verw01	Verwante zielen	woud008	Johanna	van	Woude	Woude, Johanna van	1853.0	1904.0	1886
serr005betz01	Betzy of Antwerpen in 1830 (onder ps. Vera Diximus)	serr005	Constant A.		Serrure	Serrure, Constant A.	1835.0	1898.0	1886
pere002babo02	Baboe dalima. Opium roman. Deel 2	pere002	M.T.H.		Perelaer	Perelaer, M.T.H.	1831.0	1901.0	1886
woud008bosc01	Het bosch van Groot-Vredestein en andere verhalen	woud008	Johanna	van	Woude	Woude, Johanna van	1853.0	1904.0	1886
snie001fata01	Fata morgana. Beelden uit het leven	snie001	August		Snieders	Snieders, August	1825.0	1904.0	1887
deys001lief01	Een liefde	deys001	Lodewijk	van	Deyssel	Deyssel, Lodewijk van	1864.0	1952.0	1887
gees004dwar01	Dwars door 't leven	gees004	Edmond	de	Geest	Geest, Edmond de	1847.0	1904.0	1887
oltm001slot07	Kompleete werken. Het slot Loevestein in 1570. Deel 2	oltm001	J.F.		Oltmans	Oltmans, J.F.	1806.0	1854.0	1834
oltm001slot06	Kompleete werken. Het slot Loevestein in 1570. Deel 1	oltm001	J.F.		Oltmans	Oltmans, J.F.	1806.0	1854.0	1834
daum001hoeh01	Hoe hij Raad van Indië werd (onder ps. Maurits)	daum001	P.A.		Daum	Daum, P.A.	1850.0	1898.0	1888
cour006roza02	Roza van den boschkant	cour006	Johanna Desideria		Courtmans-Berchmans	Courtmans-Berchmans, Johanna Desideria	1811.0	1890.0	1855
nets002mens01	Menschen om ons	nets002	Frans		Netscher	Netscher, Frans	1864.0	1923.0	1888
perk001wees01	De wees van Averilo	perk001	Betsy		Perk	Perk, Betsy	1833.0	1906.0	1888
schi018kapi04	De kapitein van de lijfgarde. Deel 1	schi018	H.J.		Schimmel	Schimmel, H.J.	1823.0	1906.0	1888
schi018kapi05	De kapitein van de lijfgarde. Deel 2	schi018	H.J.		Schimmel	Schimmel, H.J.	1823.0	1906.0	1888
schi018kapi06	De kapitein van de lijfgarde. Deel 3	schi018	H.J.		Schimmel	Schimmel, H.J.	1823.0	1906.0	1888
daum001lvan01	L. van Velton-van der Linden (onder ps. Maurits)	daum001	P.A.		Daum	Daum, P.A.	1850.0	1898.0	1889
daum001vand01	De Van der Lindens c.s. (onder ps. Maurits)	daum001	P.A.		Daum	Daum, P.A.	1850.0	1898.0	1889
vosm001inwi01	Inwijding	vosm001	Carel		Vosmaer	Vosmaer, Carel	1826.0	1888.0	1888
coup002elin01	Eline Vere	coup002	Louis		Couperus	Couperus, Louis	1863.0	1923.0	1889
bodd003stur01	Sturmfels	bodd003	Marie Agathe		Boddaert	Boddaert, Marie Agathe	1844.0	1914.0	1889
heim004will01	Willem Roda	heim004	Eli		Heimans	Heimans, Eli	1861.0	1914.0	1889
mari020morr01	De Morrisons	mari020			Mario	Mario	1840.0	1927.0	1890
daum001hvan01	H. van Brakel, ing. B.O.W. (onder pseudoniem Maurits)	daum001	P.A.		Daum	Daum, P.A.	1850.0	1898.0	1890
brin017jans01	Jan Starter en zijn wijf	brin017	Jan	ten	Brink	Brink, Jan ten	1834.0	1901.0	1890
sorg001porc03	Porcelein. Deel 2	sorg001	W.G.F.A.	van	Sorgen	Sorgen, W.G.F.A. van	1844.0	1898.0	1890
sorg001porc02	Porcelein. Deel 1	sorg001	W.G.F.A.	van	Sorgen	Sorgen, W.G.F.A. van	1844.0	1898.0	1890
bale003comm01	De commandant van de negerjagers. Historisch verhaal van de krijgstochten tegen de boschnegers in Suriname, 1772-1778	bale003	Johan Hendrik	van	Balen	Balen, Johan Hendrik van	1851.0	1921.0	1890
reul005inhe02	In het goudland. Onder de boschnegers	reul005	Ant. S.		Reule Nz.	Reule Nz., Ant. S.	1849.0	1906.0	1890
seip002lang01	Langs Maas en Geul	seip002	Emile		Seipgens	Seipgens, Emile	1837.0	1896.0	1890
