ti_id	titel	jaar	druk	categorie	voornaam	voorvoegsel	achternaam	uitgever	plaats_van_uitgave	cc_land	genre	geplaatst	link naar DBNL.org	author_id	year_start	year_end	year_precision	decade_start	decade_end	is_anonymous	no_author_id	is_magazine	is_prose	reprint_id	orig_jaar	best_jaar	Naam	Volledige voornaam	Personalia	active_start	active_end	dob_string	dob_location	dob_day	dob_month	dob_year	dob_century	dod_string	dod_location	dod_day	dod_month	dod_year	dod_century
beet005kuse01	Kuser	1835	1ste druk	werk	Nicolaas		Beets	Erven F. Bohn	Haarlem	nl	proza	beet005kuse01_01	https://www.dbnl.org/tekst/beet005kuse01_01	beet005	1835	1835	exact	1830	1830	False	False	False	True			1835	Beets, Nicolaas		(Haarlem 13 september 1814 - Utrecht 13 maart 1903)	1834	1839	Haarlem 13 september 1814	Haarlem	13.0	9.0	1814.0	19.0	Utrecht 13 maart 1903	Utrecht	13.0	3.0	1903.0	20.0
dros003sche01	Schetsen en verhalen	1835-1836	1ste druk	werk	Aernout		Drost	Beijerinck	Amsterdam	nl	proza	dros003sche01_01	https://www.dbnl.org/tekst/dros003sche01_01	dros003	1833	1835	exact	1830	1830	False	False	False	True	dros003sche01	1833-1835	1833-1835	Drost, Aernout		(Amsterdam 15 maart 1810 - Amsterdam 5 november 1834)	1832	1939	Amsterdam 15 maart 1810	Amsterdam	15.0	3.0	1810.0	19.0	Amsterdam 5 november 1834	Amsterdam	5.0	11.0	1834.0	19.0
neuf002zeso02	Zes oorspronkelijk Nederduitsche verhalen	1836	2de druk	herdruk	Margaretha Jacoba	de	Neufville	Ten Brink & de Vries	Amsterdam	nl	proza	neuf002zeso02_01	https://www.dbnl.org/tekst/neuf002zeso02_01	neuf002	1834	1834	exact	1830	1830	False	False	False	True	neuf002zeso02	1834-1834	1834-1834	Neufville, Margaretha Jacoba de	[Margaretha Jacoba]	(Amsterdam 6 februari 1775 - Haarlem 15 juli 1856)	1824	1840	Amsterdam 6 februari 1775	Amsterdam	6.0	2.0	1775.0	18.0	Haarlem 15 juli 1856	Haarlem	15.0	7.0	1856.0	19.0
neuf002elis01	Elisabeth Basmooth, of eene Engelsche plant op Hollandschen bodem. Deel 1	1836	1ste druk	werk	Margaretha Jacoba	de	Neufville	Ten Brink & de Vries	Amsterdam	nl	proza	neuf002elis01_01	https://www.dbnl.org/tekst/neuf002elis01_01	neuf002	1836	1836	exact	1830	1830	False	False	False	True			1836	Neufville, Margaretha Jacoba de	[Margaretha Jacoba]	(Amsterdam 6 februari 1775 - Haarlem 15 juli 1856)	1824	1840	Amsterdam 6 februari 1775	Amsterdam	6.0	2.0	1775.0	18.0	Haarlem 15 juli 1856	Haarlem	15.0	7.0	1856.0	19.0
neuf002elis02	Elisabeth Basmooth, of eene Engelsche plant op Hollandschen bodem. Deel 2	1836	1ste druk	werk	Margaretha Jacoba	de	Neufville	Ten Brink & de Vries	Amsterdam	nl	proza	neuf002elis02_01	https://www.dbnl.org/tekst/neuf002elis02_01	neuf002	1836	1836	exact	1830	1830	False	False	False	True			1836	Neufville, Margaretha Jacoba de	[Margaretha Jacoba]	(Amsterdam 6 februari 1775 - Haarlem 15 juli 1856)	1824	1840	Amsterdam 6 februari 1775	Amsterdam	6.0	2.0	1775.0	18.0	Haarlem 15 juli 1856	Haarlem	15.0	7.0	1856.0	19.0
moen006jong02	De jonge Sofia	1837	2de druk	herdruk	Petronella		Moens	R.L. Klinkert	Amsterdam	nl	proza	moen006jong02_01	https://www.dbnl.org/tekst/moen006jong02_01	moen006	1820	1820	exact	1830	1830	False	False	False	True	moen006jong02	1820-1820	1820-1820	Moens, Petronella		(Kubaard 16 november 1762 - Utrecht 4 januari 1843)	1811	1826	Kubaard 16 november 1762	Kubaard	16.0	11.0	1762.0	18.0	Utrecht 4 januari 1843	Utrecht	4.0	1.0	1843.0	19.0
cons001intw01	In 't Wonderjaer	1837	1ste druk	werk	Hendrik		Conscience	Schoesetters	Antwerpen	be	proza	cons001intw01_01	https://www.dbnl.org/tekst/cons001intw01_01	cons001	1837	1837	exact	1830	1830	False	False	False	True			1837	Conscience, Hendrik		(Antwerpen 3 december 1812 - Brussel 10 september 1883)	1837	1853	Antwerpen 3 december 1812	Antwerpen	3.0	12.0	1812.0	19.0	Brussel 10 september 1883	Brussel	10.0	9.0	1883.0	19.0
cons001leeu01	De leeuw van Vlaenderen	1838	1ste druk	werk	Hendrik		Conscience	De Cort	Antwerpen	be	proza	cons001leeu01_01	https://www.dbnl.org/tekst/cons001leeu01_01	cons001	1838	1838	exact	1830	1830	False	False	False	True			1838	Conscience, Hendrik		(Antwerpen 3 december 1812 - Brussel 10 september 1883)	1837	1853	Antwerpen 3 december 1812	Antwerpen	3.0	12.0	1812.0	19.0	Brussel 10 september 1883	Brussel	10.0	9.0	1883.0	19.0
lenn006onze01	Onze voorouders in verschillende taferelen geschetst. Deel 1. Alwart. Brinio	1838	1ste druk	werk	Jacob	van	Lennep			nl	proza	lenn006onze01_01	https://www.dbnl.org/tekst/lenn006onze01_01	lenn006	1838	1838	exact	1830	1830	False	False	False	True			1838	Lennep, Jacob van		(Amsterdam 24 maart 1802 - Oosterbeek 25 augustus 1868)	1833	1886	Amsterdam 24 maart 1802	Amsterdam	24.0	3.0	1802.0	19.0	Oosterbeek 25 augustus 1868	Oosterbeek	25.0	8.0	1868.0	19.0
beet005jose01	Jose, een Spaansch verhaal	1838	2de druk	herdruk	Nicolaas		Beets	J. Immerzeel Jr.	Amsterdam	nl	proza	beet005jose01_01	https://www.dbnl.org/tekst/beet005jose01_01	beet005	1834	1834	exact	1830	1830	False	False	False	True	beet005jose01	1834-1834	1834-1834	Beets, Nicolaas		(Haarlem 13 september 1814 - Utrecht 13 maart 1903)	1834	1839	Haarlem 13 september 1814	Haarlem	13.0	9.0	1814.0	19.0	Utrecht 13 maart 1903	Utrecht	13.0	3.0	1903.0	20.0
