ti_id	titel	jaar	druk	categorie	voornaam	voorvoegsel	achternaam	uitgever	plaats_van_uitgave	cc_land	genre	geplaatst	link naar DBNL.org	author_id	year_start	year_end	year_precision	decade_start	decade_end	is_anonymous	no_author_id	is_magazine	is_prose
bild002gesc07	Geschiedenis des vaderlands. Deel 7	1835	1ste druk	werk	Willem		Bilderdijk			nl	proza	bild002gesc07_01	https://www.dbnl.org/tekst/bild002gesc07_01	bild002	1835	1835	exact	1830	1830	False	False	False	False
bild002gesc08	Geschiedenis des vaderlands. Deel 8	1835	1ste druk	werk	Willem		Bilderdijk			nl	proza	bild002gesc08_01	https://www.dbnl.org/tekst/bild002gesc08_01	bild002	1835	1835	exact	1830	1830	False	False	False	False
bure003magd01	Magdalena Moons, of het Beleg van Leyden	1835	1ste druk	werk	Anne Diederik	van	Buren Schele	G. Portielje	Amsterdam	nl	proza	bure003magd01_01	https://www.dbnl.org/tekst/bure003magd01_01	bure003	1835	1835	exact	1830	1830	False	False	False	True
knep001frag01	Fragments de correspondance	1835	1ste druk	werk	Johannes		Kneppelhout	J.G. La Lau	Leiden	nl	proza	knep001frag01_01	https://www.dbnl.org/tekst/knep001frag01_01	knep001	1835	1835	exact	1830	1830	False	False	False	False
beet005kuse01	Kuser	1835	1ste druk	werk	Nicolaas		Beets	Erven F. Bohn	Haarlem	nl	proza	beet005kuse01_01	https://www.dbnl.org/tekst/beet005kuse01_01	beet005	1835	1835	exact	1830	1830	False	False	False	True
dros003sche01	Schetsen en verhalen	1835-1836	1ste druk	werk	Aernout		Drost	Beijerinck	Amsterdam	nl	proza	dros003sche01_01	https://www.dbnl.org/tekst/dros003sche01_01	dros003	1835	1836	exact	1830	1830	False	False	False	True
neuf002zeso02	Zes oorspronkelijk Nederduitsche verhalen	1836	2de druk	herdruk	Margaretha Jacoba	de	Neufville	Ten Brink & de Vries	Amsterdam	nl	proza	neuf002zeso02_01	https://www.dbnl.org/tekst/neuf002zeso02_01	neuf002	1836	1836	exact	1830	1830	False	False	False	True
neuf002elis01	Elisabeth Basmooth, of eene Engelsche plant op Hollandschen bodem. Deel 1	1836	1ste druk	werk	Margaretha Jacoba	de	Neufville	Ten Brink & de Vries	Amsterdam	nl	proza	neuf002elis01_01	https://www.dbnl.org/tekst/neuf002elis01_01	neuf002	1836	1836	exact	1830	1830	False	False	False	True
neuf002elis02	Elisabeth Basmooth, of eene Engelsche plant op Hollandschen bodem. Deel 2	1836	1ste druk	werk	Margaretha Jacoba	de	Neufville	Ten Brink & de Vries	Amsterdam	nl	proza	neuf002elis02_01	https://www.dbnl.org/tekst/neuf002elis02_01	neuf002	1836	1836	exact	1830	1830	False	False	False	True
bild002gesc10	Geschiedenis des vaderlands. Deel 10	1836	1ste druk	werk	Willem		Bilderdijk			nl	proza	bild002gesc10_01	https://www.dbnl.org/tekst/bild002gesc10_01	bild002	1836	1836	exact	1830	1830	False	False	False	False
bild002gesc09	Geschiedenis des vaderlands. Deel 9	1836	1ste druk	werk	Willem		Bilderdijk			nl	proza	bild002gesc09_01	https://www.dbnl.org/tekst/bild002gesc09_01	bild002	1836	1836	exact	1830	1830	False	False	False	False
bild002gesc11	Geschiedenis des vaderlands. Deel 11	1837	1ste druk	werk	Willem		Bilderdijk			nl	proza	bild002gesc11_01	https://www.dbnl.org/tekst/bild002gesc11_01	bild002	1837	1837	exact	1830	1830	False	False	False	False
moen006jong02	De jonge Sofia	1837	2de druk	herdruk	Petronella		Moens	R.L. Klinkert	Amsterdam	nl	proza	moen006jong02_01	https://www.dbnl.org/tekst/moen006jong02_01	moen006	1837	1837	exact	1830	1830	False	False	False	True
cons001intw01	In 't Wonderjaer	1837	1ste druk	werk	Hendrik		Conscience	Schoesetters	Antwerpen	be	proza	cons001intw01_01	https://www.dbnl.org/tekst/cons001intw01_01	cons001	1837	1837	exact	1830	1830	False	False	False	True
cons001phan01	Phantazy	1837	1ste druk	werk	Hendrik		Conscience	De Cort	Antwerpen	be	proza	cons001phan01_01	https://www.dbnl.org/tekst/cons001phan01_01	cons001	1837	1837	exact	1830	1830	False	False	False	False
cons001leeu01	De leeuw van Vlaenderen	1838	1ste druk	werk	Hendrik		Conscience	De Cort	Antwerpen	be	proza	cons001leeu01_01	https://www.dbnl.org/tekst/cons001leeu01_01	cons001	1838	1838	exact	1830	1830	False	False	False	True
geel003onde01	Onderzoek en phantasie	1838	1ste druk	werk	Jacob		Geel	C.C. van der Hoek	Leiden	nl	proza	geel003onde01_01	https://www.dbnl.org/tekst/geel003onde01_01	geel003	1838	1838	exact	1830	1830	False	False	False	False
lenn006onze01	Onze voorouders in verschillende taferelen geschetst. Deel 1. Alwart. Brinio	1838	1ste druk	werk	Jacob	van	Lennep			nl	proza	lenn006onze01_01	https://www.dbnl.org/tekst/lenn006onze01_01	lenn006	1838	1838	exact	1830	1830	False	False	False	True
beet005jose01	Jose, een Spaansch verhaal	1838	2de druk	herdruk	Nicolaas		Beets	J. Immerzeel Jr.	Amsterdam	nl	proza	beet005jose01_01	https://www.dbnl.org/tekst/beet005jose01_01	beet005	1838	1838	exact	1830	1830	False	False	False	True
knep001pros01	Prose et vers	1838	1ste druk	werk	Johannes		Kneppelhout	P.H. van den Heuvell	Leiden	nl	proza	knep001pros01_01	https://www.dbnl.org/tekst/knep001pros01_01	knep001	1838	1838	exact	1830	1830	False	False	False	False
hase001tela01	Te laat	1838	1ste druk	werk	Betsy		Hasebroek	Erven F. Bohn	Haarlem	nl	proza	hase001tela01_01	https://www.dbnl.org/tekst/hase001tela01_01	hase001	1838	1838	exact	1830	1830	False	False	False	True
bild002gesc12	Geschiedenis des vaderlands. Deel 12	1839	1ste druk	werk	Willem		Bilderdijk			nl	proza	bild002gesc12_01	https://www.dbnl.org/tekst/bild002gesc12_01	bild002	1839	1839	exact	1830	1830	False	False	False	False
lenn006onze02	Onze voorouders in verschillende taferelen geschetst. Deel 2. Chariëtto. De Saxische weezen. De Friezen te Rome	1839	1ste druk	werk	Jacob	van	Lennep			nl	proza	lenn006onze02_01	https://www.dbnl.org/tekst/lenn006onze02_01	lenn006	1839	1839	exact	1830	1830	False	False	False	True
cour005robe01	Robert de Vries. Historisch tafereel uit de XIe eeuw	1839	1ste druk	werk	J.B.		Courtmans	D.J. Vanderhaeghen-Hulin	Gent	be	proza	cour005robe01_01	https://www.dbnl.org/tekst/cour005robe01_01	cour005	1839	1839	exact	1830	1830	False	False	False	True
joly002sieg01	Siége de Maestricht, sous Alexandre Farnèse, duc de Parma, en 1579	1840	1ste druk	werk	Victor		Joly	Bury-Lefebvre	Maestricht	nl	proza	joly002sieg01_01	https://www.dbnl.org/tekst/joly002sieg01_01	joly002	1840	1840	exact	1840	1840	False	False	False	True
hase001twee01	Twee vrouwen	1840	1ste druk	werk	Betsy		Hasebroek			nl	proza	hase001twee01_01	https://www.dbnl.org/tekst/hase001twee01_01	hase001	1840	1840	exact	1840	1840	False	False	False	True
knep001inde01	In den vreemde	1840	1ste druk	werk	Johannes		Kneppelhout	H.W. Hazenberg en Comp.	Leiden	nl	proza	knep001inde01_01	https://www.dbnl.org/tekst/knep001inde01_01	knep001	1840	1840	exact	1840	1840	False	False	False	False
bosb002huis01	Het huis Lauernesse	1840	1ste druk	werk	A.L.G.		Bosboom-Toussaint	Beijerinck	Amsterdam	nl	proza	bosb002huis01_01	https://www.dbnl.org/tekst/bosb002huis01_01	bosb002	1840	1840	exact	1840	1840	False	False	False	True
lenn006lotg01	De lotgevallen van Ferdinand Huyck	1840	1ste druk	werk	Jacob	van	Lennep	Meijer Warnars	Amsterdam	nl	proza	lenn006lotg01_01	https://www.dbnl.org/tekst/lenn006lotg01_01	lenn006	1840	1840	exact	1840	1840	False	False	False	True
neuf002acht01	Acht oorspronkelijk Nederduitsche verhalen voor de jeugd	1840	1ste druk	werk	Margaretha Jacoba	de	Neufville	Ten Brink & de Vries	Amsterdam	nl	proza	neuf002acht01_01	https://www.dbnl.org/tekst/neuf002acht01_01	neuf002	1840	1840	exact	1840	1840	False	False	False	True
gewi001reis01	Reisontmoetingen van Joachim Polsbroekerwoud en zijne vrienden (onder pseudoniem Vlerk)	1841	1ste druk	werk	Bernard		Gewin	Frijlink	Amsterdam	nl	proza	gewi001reis01_01	https://www.dbnl.org/tekst/gewi001reis01_01	gewi001	1841	1841	exact	1840	1840	False	False	False	False
lenn006onze03	Onze voorouders in verschillende taferelen geschetst. Deel 3. De koorknaap. De Hunenborg	1841	1ste druk	werk	Jacob	van	Lennep			nl	proza	lenn006onze03_01	https://www.dbnl.org/tekst/lenn006onze03_01	lenn006	1841	1841	exact	1840	1840	False	False	False	True
rons001kapi01	Kapitein Blommaert of De Boschgeuzen te Audenaerde 1566-1572	1841	1ste druk	werk	Joseph		Ronsse	Z.n.	Audenaerde	be	proza	rons001kapi01_01	https://www.dbnl.org/tekst/rons001kapi01_01	rons001	1841	1841	exact	1840	1840	False	False	False	True
rons001pedr01	Pedro en Blondina	1842	1ste druk	werk	Joseph		Ronsse		Audenerde	be	proza	rons001pedr01_01	https://www.dbnl.org/tekst/rons001pedr01_01	rons001	1842	1842	exact	1840	1840	False	False	False	True
gijs016will01	Willem van Bergen, student aan de Leydsche hoogeschool	1842	1ste druk	werk	A.		Gijsberti Hodenpijl	Gebhard	Leyden	nl	proza	gijs016will01_01	https://www.dbnl.org/tekst/gijs016will01_01	gijs016	1842	1842	exact	1840	1840	False	False	False	True
lenn006onze04	Onze voorouders in verschillende taferelen geschetst. Deel 4. De gestoorde bruiloft. Ulrich de zanger. De Friesche bouwmeester. De bedevaartganger	1842	1ste druk	werk	Jacob	van	Lennep			nl	proza	lenn006onze04_01	https://www.dbnl.org/tekst/lenn006onze04_01	lenn006	1842	1842	exact	1840	1840	False	False	False	True
breu012dagv01	Dagverhaal van eene reis naar Paramaribo en verdere omstreken in de kolonie Suriname	1842	1ste druk	werk	Gaspard Philippe Charles	van	Breugel	Sulpke	Amsterdam	nl	proza	breu012dagv01_01	https://www.dbnl.org/tekst/breu012dagv01_01	breu012	1842	1842	exact	1840	1840	False	False	False	False
cler026baud01	Baudewyn en Avezoeta, of Vryheydsliefde en godsdienst	1842	1ste druk	werk	Jacob Lodewijk	de	Clercq	C.J. Vanryckegem	Gent	be	proza	cler026baud01_01	https://www.dbnl.org/tekst/cler026baud01_01	cler026	1842	1842	exact	1840	1840	False	False	False	True
laet002huis01	Het huis van Wesenbeke	1842	1ste druk	werk	J.A.	de	Laet		Antwerpen	be	proza	laet002huis01_01	https://www.dbnl.org/tekst/laet002huis01_01	laet002	1842	1842	exact	1840	1840	False	False	False	True
bosb002kroo01	Eene kroon voor Karel den Stouten	1842	1ste druk	werk	A.L.G.		Bosboom-Toussaint	P.N. van Kampen	Amsterdam	nl	proza	bosb002kroo01_01	https://www.dbnl.org/tekst/bosb002kroo01_01	bosb002	1842	1842	exact	1840	1840	False	False	False	True
slee003kron02	Kronyken der straten van Antwerpen. Deel 2	1843	1ste druk	werk	Domien		Sleeckx	Karel Oberts	Antwerpen	be	proza	slee003kron02_01	https://www.dbnl.org/tekst/slee003kron02_01	slee003	1843	1843	exact	1840	1840	False	False	False	True
slee003kron03	Kronyken der straten van Antwerpen. Deel 3	1843	1ste druk	werk	Domien		Sleeckx	Karel Oberts	Antwerpen	be	proza	slee003kron03_01	https://www.dbnl.org/tekst/slee003kron03_01	slee003	1843	1843	exact	1840	1840	False	False	False	True
